Code,年均死亡數,全球人口數佔比
中國,0.0024,0.1767
印度,0.0013,0.1757
美國,0.0026,0.0418
印尼,0.0016,0.0345
巴基斯坦,0.0011,0.0295
巴西,0.0015,0.0269
俄羅斯,0.0078,0.0181
日本,0.0025,0.0156
德國,0.0043,0.0105
烏克蘭,0.0106,0.0051
